img_id,dataset,route,level,score,reason,parse_tier
10022844623.jpg,koniq,r4,,3.69,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate motion blur on Ferris wheel and gondolas; slight noise in shadows; sun glare causes highlight clipping; overall softness reduces fine detail. | S-AESTH(4.1): Strong backlighting ",1
10029841663.jpg,koniq,r4,,4.0744,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness and slight noise in shadows; edges crisp, no compression artifacts or color cast; exposure even with no clipping. | S-AESTH(2.9): Ordinary composition with centered bottles",1
10031298826.jpg,koniq,r4,,3.848,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Heavy noise in dark areas, crushed shadows in tunnel walls, and slight blur around window edges reduce clarity despite good contrast. | S-AESTH(4.8): Strong circular composition with lead",1
10059344614.jpg,koniq,r4,,4.0744,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp popcorn edges and textures; slight softness in shadows; no noise, artifacts, or white balance issues; exposure well-balanced. | S-AESTH(2.9): Ordinary composition with centered subj",1
10067457634.jpg,koniq,r4,,4.4254,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness and slight noise in shadows; edges crisp overall, no compression artifacts or color cast. | S-AESTH(4.1): Warm wood tones and soft overhead lighting create inviting harmony",1
10068778516.jpg,koniq,r4,,4.0827,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp stone textures and roof tiles; slight softness in shadows, minor noise in sky; no clipping, neutral white balance, no visible artifacts. | S-AESTH(4.1): Strong diagonal composition,",1
10079711433.jpg,koniq,r4,,4.3126,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp glass edges and liquid textures; slight softness in background; minimal noise; exposure well-balanced with no clipping; no visible artifacts or color cast. | S-AESTH(4.8): Strong co",1
10133867305.jpg,koniq,r4,,3.7384,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Strong warm color cast, crushed shadows, and soft focus; fine stone textures blurred, no visible noise or compression artifacts. | S-AESTH(4.8): Dramatic upward composition, warm golden l",1
10178183416.jpg,koniq,r4,,4.4009,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.8): Crisp edges on tower and foliage, clean sky with no noise or compression artifacts, accurate white balance, even exposure with no clipping. | S-AESTH(4.1): Strong composition with tower c",1
10187522803.jpg,koniq,r4,,4.7497,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.8): Crisp edges on balloons, no noise or blur; even exposure with no clipping; neutral white balance; no compression artifacts or chromatic aberration. | S-CONTENT(4.8): All hot air balloons ",1
