img_id,dataset,route,score,reason,parse_tier
10022844623.jpg,koniq,r6offanchor,3.963,"R6-offanchor=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.35,S-CONTENT×0.31)+0.4·bare投票(3.75)",1
10029841663.jpg,koniq,r6offanchor,4.3339,"R6-offanchor=0.6·动态融合(S-TECH×0.23,S-GLOBAL×0.32,S-CONTENT×0.45)+0.4·bare投票(4.00)",1
10031298826.jpg,koniq,r6offanchor,3.9153,"R6-offanchor=0.6·动态融合(S-TECH×0.51,S-GLOBAL×0.29,S-CONTENT×0.21)+0.4·bare投票(4.00)",1
10059344614.jpg,koniq,r6offanchor,4.3402,"R6-offanchor=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.34,S-CONTENT×0.46)+0.4·bare投票(4.00)",1
10067457634.jpg,koniq,r6offanchor,4.3272,"R6-offanchor=0.6·动态融合(S-TECH×0.25,S-GLOBAL×0.32,S-CONTENT×0.43)+0.4·bare投票(4.00)",1
10068778516.jpg,koniq,r6offanchor,4.12,"R6-offanchor=0.6·动态融合(S-TECH×0.09,S-GLOBAL×0.25,S-CONTENT×0.66)+0.4·bare投票(4.00)",1
10079711433.jpg,koniq,r6offanchor,4.2744,"R6-offanchor=0.6·动态融合(S-TECH×0.37,S-GLOBAL×0.31,S-CONTENT×0.32)+0.4·bare投票(4.00)",1
10133867305.jpg,koniq,r6offanchor,3.9651,"R6-offanchor=0.6·动态融合(S-TECH×0.45,S-GLOBAL×0.32,S-CONTENT×0.24)+0.4·bare投票(4.00)",1
10178183416.jpg,koniq,r6offanchor,4.3746,"R6-offanchor=0.6·动态融合(S-TECH×0.47,S-GLOBAL×0.32,S-CONTENT×0.21)+0.4·bare投票(4.00)",1
10187522803.jpg,koniq,r6offanchor,4.6,"R6-offanchor=0.6·动态融合(S-TECH×0.12,S-GLOBAL×0.28,S-CONTENT×0.60)+0.4·bare投票(4.00)",1
