img_id,dataset,route,level,score,reason,parse_tier
10001.jpg,spaq,r4,,6.4201,软门控(bare 0.36/rich 0.29/multi 0.34) | Good overall impression; vibrant mural and lighting create engaging ambiance. Minor glare from lights and slight underexposure in corners are barely noticeable.,1
10002.jpg,spaq,r4,,6.4724,"软门控(bare 0.32/rich 0.34/multi 0.34) | Soft focus on foreground flower, but natural lighting and composition create pleasant greenhouse scene; minor blur doesn't ruin overall appeal.",1
10003.jpg,spaq,r4,,4.4226,软门控(bare 0.37/rich 0.30/multi 0.33) | Blurry image with motion noise and low light; details obscured but main subject recognizable; acceptable for casual viewing.,1
10004.jpg,spaq,r4,,3.1279,"软门控(bare 0.36/rich 0.31/multi 0.33) | Severe motion blur dominates, obscuring details and text; image appears shaky and unviewable for practical use.",1
10005.jpg,spaq,r4,,1.4622,软门控(bare 0.33/rich 0.32/multi 0.35) | Severe blur across entire image; no discernible details; completely unviewable for any purpose.,1
10006.jpg,spaq,r4,,5.1367,软门控(bare 0.32/rich 0.36/multi 0.33) | Dull lighting and muted colors make image flat; reflections are soft but not distracting; overall acceptable with minor flaws.,1
10007.jpg,spaq,r4,,8.3935,"软门控(bare 0.39/rich 0.27/multi 0.33) | Vibrant red berries and glossy green leaves create a striking, natural composition with excellent color contrast and clarity.",1
10008.jpg,spaq,r4,,6.4254,"软门控(bare 0.36/rich 0.30/multi 0.35) | Clear night city scene with moon, well-lit buildings, and vibrant signs; minor noise in dark areas but overall pleasing and acceptable.",1
10009.jpg,spaq,r4,,6.4891,"软门控(bare 0.31/rich 0.35/multi 0.34) | Soft focus and muted colors, but overall pleasant cherry blossom scene with natural composition; minor flaws easily overlooked.",1
10010.jpg,spaq,r4,,3.1314,"软门控(bare 0.34/rich 0.33/multi 0.32) | Severe blur dominates the image, making details indiscernible; overall impression is poor and annoying to view.",1
10011.jpg,spaq,r4,,8.4351,"软门控(bare 0.35/rich 0.30/multi 0.35) | Vibrant purple flowers and rich foliage create a lush, natural beauty; no flaws or distractions. Excellent overall impression.",1
10012.jpg,spaq,r4,,6.8233,"软门控(bare 0.31/rich 0.34/multi 0.34) | Clear, well-composed outdoor scene with balanced exposure; minor haze and dull lighting slightly reduce vibrancy but do not distract.",1
10013.jpg,spaq,r4,,7.2891,"软门控(bare 0.32/rich 0.35/multi 0.33) | Clean, well-lit composition with textured towels and decorative bottle; minor shadowing and slight tilt don’t detract from overall pleasant impression.",1
10014.jpg,spaq,r4,,7.1338,"软门控(bare 0.33/rich 0.32/multi 0.35) | Natural scene with good detail and color; slight overexposure in sky and minor noise, but overall visually pleasing and acceptable.",1
10015.jpg,spaq,r4,,6.8467,"软门控(bare 0.29/rich 0.38/multi 0.33) | Overcast lighting and muted colors, but image is clear, well-composed, and free of major flaws or distractions.",1
10016.jpg,spaq,r4,,5.4576,"软门控(bare 0.32/rich 0.34/multi 0.34) | Image is fair: soft focus, low contrast, and slight noise. Subjects are clear but background lacks detail. Overall acceptable for casual use.",1
10017.jpg,spaq,r4,,4.8192,"软门控(bare 0.32/rich 0.35/multi 0.33) | Blurry and low contrast; foggy conditions obscure details, but scene is recognizable and not visually offensive.",1
10018.jpg,spaq,r4,,7.1333,"软门控(bare 0.33/rich 0.32/multi 0.35) | Natural, well-composed scene with clear details in rock and foliage; minor noise and soft focus don't detract significantly.",1
10019.jpg,spaq,r4,,1.7995,软门控(bare 0.33/rich 0.35/multi 0.32) | Severe blur dominates entire image; details of chandelier and text are unrecognizable; unacceptable quality.,1
10020.jpg,spaq,r4,,8.0244,"软门控(bare 0.35/rich 0.30/multi 0.35) | Clear, well-lit image with sharp details on tripod and hydrant; minor clutter in background doesn't distract. Overall good quality.",1
10021.jpg,spaq,r4,,3.1385,"软门控(bare 0.31/rich 0.36/multi 0.33) | Severe motion blur dominates the image, obscuring the subject and reducing clarity; background is clear but overall impression is poor due to lack of sharpness.",1
10022.jpg,spaq,r4,,6.7979,"软门控(bare 0.34/rich 0.33/multi 0.33) | Clear architectural details, even lighting, minor weathering and wires slightly distract but overall impression is good.",1
10023.jpg,spaq,r4,,4.8207,"软门控(bare 0.32/rich 0.36/multi 0.32) | Dull, overcast lighting and low contrast dominate; details are muted but no major defects; acceptable for casual viewing.",1
10024.jpg,spaq,r4,,1.4652,软门控(bare 0.33/rich 0.32/multi 0.35) | Severe motion blur dominates entire image; details unrecognizable; first impression is chaotic and unusable.,1
10025.jpg,spaq,r4,,1.8321,软门控(bare 0.35/rich 0.32/multi 0.33) | Severe blur dominates entire image; no details discernible; unacceptable for any practical use.,1
10026.jpg,spaq,r4,,1.4648,软门控(bare 0.33/rich 0.33/multi 0.34) | Severe blur dominates entire image; no details discernible; unacceptable for any practical use.,1
10027.jpg,spaq,r4,,3.1354,"软门控(bare 0.32/rich 0.35/multi 0.33) | Overwhelming lens flare dominates image, obscuring details; harsh brightness and dark shadows make content unviewable; poor overall acceptability.",1
10028.jpg,spaq,r4,,6.8162,"软门控(bare 0.32/rich 0.33/multi 0.35) | Clear, well-lit urban scene with natural colors; minor distractions from air conditioners and parked vehicles; no major flaws.",1
10029.jpg,spaq,r4,,6.797,"软门控(bare 0.34/rich 0.32/multi 0.34) | Natural, pleasant scene with children in rain gear under bamboo arches. Slight clutter and wet ground don't detract; overall impression is good.",1
10030.jpg,spaq,r4,,1.4644,软门控(bare 0.33/rich 0.34/multi 0.33) | Severe blur dominates entire image; details unrecognizable; unacceptable for any practical use.,1
10031.jpg,spaq,r4,,5.1333,软门控(bare 0.33/rich 0.32/multi 0.35) | Strong backlighting causes severe underexposure in foreground; sun flare is prominent but composition remains natural and visually calm.,1
10032.jpg,spaq,r4,,1.4804,"软门控(bare 0.35/rich 0.32/multi 0.33) | Extremely dark, blurry, and lacks discernible content; severe motion blur and noise dominate, making image unusable.",1
10033.jpg,spaq,r4,,1.4954,"软门控(bare 0.37/rich 0.29/multi 0.34) | Severe motion blur dominates, making subject unrecognizable; no discernible details or focus.",1
10034.jpg,spaq,r4,,9.2301,"软门控(bare 0.37/rich 0.29/multi 0.35) | Vibrant orange flowers and lush green leaves create a lively, natural composition with excellent color contrast and clarity.",1
10035.jpg,spaq,r4,,8.0803,"软门控(bare 0.35/rich 0.30/multi 0.34) | Vibrant purple flowers and lush green foliage create a natural, pleasing scene with excellent color and detail; no flaws dominate.",1
10036.jpg,spaq,r4,,7.1279,"软门控(bare 0.36/rich 0.30/multi 0.34) | Clear sign with good contrast; minor weathering on trim and small stains are barely noticeable, not distracting.",1
10037.jpg,spaq,r4,,3.1212,"软门控(bare 0.31/rich 0.36/multi 0.33) | Severe motion blur dominates the image, obscuring subject details and making it hard to ignore; overall impression is poor.",1
10038.jpg,spaq,r4,,1.8157,软门控(bare 0.34/rich 0.33/multi 0.33) | Severe motion blur dominates entire image; details unrecognizable; unacceptable for any practical use.,1
10039.jpg,spaq,r4,,2.1144,"软门控(bare 0.33/rich 0.35/multi 0.33) | Severe blur across entire image, extreme lack of detail, and washed-out lighting make content unrecognizable and visually unacceptable.",1
10040.jpg,spaq,r4,,1.7667,软门控(bare 0.31/rich 0.35/multi 0.34) | Severe blur across entire image; details unrecognizable; poor focus dominates impression; unacceptable quality.,1
10041.jpg,spaq,r4,,5.1354,"软门控(bare 0.32/rich 0.34/multi 0.34) | Image is rotated 90°, making composition confusing; otherwise, lighting and details are clear but orientation flaw dominates first impression.",1
10042.jpg,spaq,r4,,7.1322,"软门控(bare 0.34/rich 0.33/multi 0.34) | Clear, well-lit mall corridor with balanced composition; minor glare on floor and slight noise in shadows don't distract.",1
10043.jpg,spaq,r4,,1.4696,"软门控(bare 0.34/rich 0.33/multi 0.33) | Overwhelming lens flare dominates image, obscuring content; severe glare and lack of visible detail make it unusable.",1
10044.jpg,spaq,r4,,3.1267,"软门控(bare 0.37/rich 0.30/multi 0.33) | Severe motion blur dominates, obscuring details; colors are vibrant but indistinct; overall impression is poor and distracting.",1
10045.jpg,spaq,r4,,4.7508,软门控(bare 0.37/rich 0.28/multi 0.34) | Night scene with heavy noise and low light; traffic lights and building windows are visible but details are lost in shadows; overall tolerable for a casual viewer.,1
10046.jpg,spaq,r4,,1.8198,"软门控(bare 0.34/rich 0.33/multi 0.33) | Severe motion blur and overexposed lights dominate, making scene unrecognizable; unacceptable for any viewer.",1
10047.jpg,spaq,r4,,5.1359,"软门控(bare 0.32/rich 0.32/multi 0.36) | Severe underexposure dominates, making foreground nearly black; window area is bright but overall image lacks detail and balance.",1
10048.jpg,spaq,r4,,3.1268,"软门控(bare 0.37/rich 0.31/multi 0.33) | Severe blur dominates the image, making details indistinct and unappealing; overall impression is poor and hard to ignore.",1
10049.jpg,spaq,r4,,3.1192,"软门控(bare 0.32/rich 0.34/multi 0.34) | Severe lens flare and overexposed light dominate, obscuring details; extreme darkness and noise make image hard to interpret.",1
10050.jpg,spaq,r4,,1.4443,"软门控(bare 0.31/rich 0.35/multi 0.34) | Severe blur and overexposure dominate; details lost, making image unusable and visually unappealing.",1
10051.jpg,spaq,r4,,7.1336,"软门控(bare 0.33/rich 0.33/multi 0.34) | Clean architectural lines, balanced composition, and clear sky. Minor window reflections and slight haze don’t detract significantly.",1
10052.jpg,spaq,r4,,7.6495,"软门控(bare 0.31/rich 0.33/multi 0.36) | Clear, well-composed image with good detail and even lighting; minor flaws like dry grass and slightly dull colors are easily overlooked.",1
10053.jpg,spaq,r4,,6.8207,"软门控(bare 0.32/rich 0.34/multi 0.34) | Clear, well-composed urban scene with natural lighting; minor noise and dull sky don't detract from overall acceptability.",1
