img_id,dataset,route,level,score,reason,parse_tier
10022844623.jpg,koniq,r6,,3.7813,"R6=0.6·动态融合(S-TECH×0.36,S-GLOBAL×0.35,S-CONTENT×0.29)+0.4·bare投票(3.75)",1
10029841663.jpg,koniq,r6,,4.2323,"R6=0.6·动态融合(S-TECH×0.22,S-GLOBAL×0.32,S-CONTENT×0.46)+0.4·bare投票(4.00)",1
10031298826.jpg,koniq,r6,,3.744,"R6=0.6·动态融合(S-TECH×0.53,S-GLOBAL×0.28,S-CONTENT×0.19)+0.4·bare投票(4.00)",1
10059344614.jpg,koniq,r6,,4.2369,"R6=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.33,S-CONTENT×0.47)+0.4·bare投票(4.00)",1
10067457634.jpg,koniq,r6,,4.3828,"R6=0.6·动态融合(S-TECH×0.23,S-GLOBAL×0.31,S-CONTENT×0.45)+0.4·bare投票(4.00)",1
10068778516.jpg,koniq,r6,,3.9692,"R6=0.6·动态融合(S-TECH×0.11,S-GLOBAL×0.27,S-CONTENT×0.62)+0.4·bare投票(4.00)",1
10079711433.jpg,koniq,r6,,4.2045,"R6=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.31,S-CONTENT×0.34)+0.4·bare投票(4.00)",1
10133867305.jpg,koniq,r6,,3.7969,"R6=0.6·动态融合(S-TECH×0.47,S-GLOBAL×0.31,S-CONTENT×0.22)+0.4·bare投票(4.00)",1
10178183416.jpg,koniq,r6,,4.2546,"R6=0.6·动态融合(S-TECH×0.47,S-GLOBAL×0.32,S-CONTENT×0.21)+0.4·bare投票(4.00)",1
10187522803.jpg,koniq,r6,,4.48,"R6=0.6·动态融合(S-TECH×0.12,S-GLOBAL×0.28,S-CONTENT×0.60)+0.4·bare投票(4.00)",1
10206674394.jpg,koniq,r6,,4.48,"R6=0.6·动态融合(S-TECH×0.10,S-GLOBAL×0.26,S-CONTENT×0.64)+0.4·bare投票(4.00)",1
10211880874.jpg,koniq,r6,,2.5502,"R6=0.6·动态融合(S-TECH×0.80,S-GLOBAL×0.16,S-CONTENT×0.04)+0.4·bare投票(3.00)",1
10241895785.jpg,koniq,r6,,4.205,"R6=0.6·动态融合(S-TECH×0.30,S-GLOBAL×0.31,S-CONTENT×0.39)+0.4·bare投票(4.00)",1
10265315316.jpg,koniq,r6,,3.8443,"R6=0.6·动态融合(S-TECH×0.32,S-GLOBAL×0.36,S-CONTENT×0.32)+0.4·bare投票(3.75)",1
10279904885.jpg,koniq,r6,,3.4745,"R6=0.6·动态融合(S-TECH×0.65,S-GLOBAL×0.24,S-CONTENT×0.11)+0.4·bare投票(3.75)",1
10283619534.jpg,koniq,r6,,3.7709,"R6=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.34,S-CONTENT×0.41)+0.4·bare投票(4.00)",1
10296038236.jpg,koniq,r6,,3.1078,"R6=0.6·动态融合(S-TECH×0.37,S-GLOBAL×0.31,S-CONTENT×0.32)+0.4·bare投票(3.00)",1
102995966.jpg,koniq,r6,,2.08,"R6=0.6·动态融合(S-TECH×0.33,S-GLOBAL×0.29,S-CONTENT×0.38)+0.4·bare投票(2.50)",1
10330831494.jpg,koniq,r6,,2.6309,"R6=0.6·动态融合(S-TECH×0.15,S-GLOBAL×0.29,S-CONTENT×0.56)+0.4·bare投票(2.25)",1
10336689775.jpg,koniq,r6,,3.3941,"R6=0.6·动态融合(S-TECH×0.45,S-GLOBAL×0.33,S-CONTENT×0.23)+0.4·bare投票(3.00)",1
10346758803.jpg,koniq,r6,,3.9681,"R6=0.6·动态融合(S-TECH×0.30,S-GLOBAL×0.35,S-CONTENT×0.35)+0.4·bare投票(4.00)",1
10353620913.jpg,koniq,r6,,3.6483,"R6=0.6·动态融合(S-TECH×0.52,S-GLOBAL×0.29,S-CONTENT×0.19)+0.4·bare投票(3.75)",1
