img_id,dataset,route,level,score,reason,parse_tier,issues,active_skills,skill_scores
10022844623.jpg,koniq,r3,,3.5828,S-GLOBAL(3.9): Strong composition with Ferris wheel and cable cars; sun flare adds drama but slightly overexposes center; overall visually pleasing and acceptable. | S-TECH(2.9): Sun glare causes severe highlight clipping on Ferris wheel; moderate noise in shadows; slight blur in distant structures; white balance neutral but overall clarity compromised. | S-AESTH(4.1): Strong backlighting creates dramatic silhouette of Ferris wheel; balanced composition with leading lines; cool blue tones harmonize with sky; minor clutter in lower frame.,1,exposure|composition,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 2.9, ""S-GLOBAL"": 3.9}"
10029841663.jpg,koniq,r3,,3.7385,"S-GLOBAL(3.9): Clear, well-lit product shot with natural colors; minor label glare and slight focus softness don’t detract from overall appeal. | S-TECH(4.1): Minor softness and slight noise in shadows; edges crisp, no clipping or color cast; gradients smooth, no JPEG artifacts or chromatic aberration. | S-AESTH(2.9): Ordinary composition with centered bottles; flat lighting lacks depth; green labels clash slightly with brown glass; no strong visual hierarchy.",1,composition|exposure,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 2.9, ""S-TECH"": 4.1, ""S-GLOBAL"": 3.9}"
10031298826.jpg,koniq,r3,,3.7469,"S-GLOBAL(3.9): Strong composition and moody monochrome; slight grain and edge noise, but overall impression is good with minor flaws easily overlooked. | S-TECH(2.9): Moderate blur and noise in dark tunnel walls; fine textures lost. Highlights clipped at window; shadows crushed. No color cast or compression artifacts. | S-AESTH(4.8): Strong circular composition with leading lines; dramatic chiaroscuro lighting enhances depth; monochrome palette creates cohesive, moody harmony; clear visual hierarchy to the window.",1,exposure|composition|blur,S-TECH|S-GLOBAL|S-AESTH,"{""S-TECH"": 2.9, ""S-GLOBAL"": 3.9, ""S-AESTH"": 4.8}"
10059344614.jpg,koniq,r3,,3.9962,"S-GLOBAL(3.9): Fresh, well-lit popcorn in a white bowl; minor background clutter and slight overexposure don’t detract from overall pleasant, appetizing impression. | S-TECH(4.1): Crisp popcorn edges and textures; slight softness in shadows; no noise, artifacts, or white balance issues; exposure well-balanced. | S-AESTH(4.0): Strong top-down composition with subject centered; natural light enhances texture; neutral color harmony; clear visual hierarchy despite slight background clutter.",1,composition|exposure,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.0, ""S-TECH"": 4.1, ""S-GLOBAL"": 3.9}"
10067457634.jpg,koniq,r3,,4.3577,"S-GLOBAL(4.8): Warm, inviting rustic dining room with consistent lighting, clean composition, and harmonious decor; no flaws disrupt the pleasant overall impression. | S-TECH(4.1): Minor softness and slight noise in shadows; edges mostly crisp, no compression artifacts or color cast; exposure well-balanced. | S-AESTH(4.0): Warm wood tones and soft overhead lighting create cozy harmony; balanced composition with clear visual hierarchy; minor clutter in background slightly reduces impact.",1,exposure|color|composition,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.0, ""S-TECH"": 4.1, ""S-GLOBAL"": 4.8}"
10068778516.jpg,koniq,r3,,4.0197,"S-GLOBAL(3.9): Clear, well-composed shot of stone building under bright sky; minor noise and slight softness in shadows, but overall pleasing and natural. | S-TECH(4.1): Crisp stone textures and roof tiles; slight softness in shadows, minor noise in sky; no artifacts or color cast; exposure well-balanced. | S-AESTH(4.1): Strong diagonal composition, natural lighting enhances stone texture, harmonious earthy tones, clear visual hierarchy with building as focus.",1,composition|exposure,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 4.1, ""S-GLOBAL"": 3.9}"
10079711433.jpg,koniq,r3,,4.0598,"S-GLOBAL(4.0): Warm, moody lighting highlights cocktail elegantly; minor background blur and slight glare on glass are barely noticeable. | S-TECH(4.1): Crisp glass edges and liquid textures; slight noise in dark background; no clipping or artifacts; minor softness in shadows. | S-AESTH(4.1): Strong composition with centered subject and leading lines; warm, directional lighting enhances mood; cohesive color palette; minor background clutter.",1,exposure|color|composition,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 4.1, ""S-GLOBAL"": 4.0}"
10133867305.jpg,koniq,r3,,3.7469,"S-GLOBAL(3.9): Warm, atmospheric lighting enhances cathedral's grandeur; slight color cast and low contrast are minor, not distracting. | S-TECH(2.9): Strong warm color cast, crushed shadows, and soft focus; fine stone textures blurred, especially in columns and arches. | S-AESTH(4.8): Dramatic upward composition frames rose window as focal point; warm, directional light enhances texture and depth; harmonious terracotta tones create serene, reverent atmosphere.",1,exposure|color|composition,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.8, ""S-TECH"": 2.9, ""S-GLOBAL"": 3.9}"
10178183416.jpg,koniq,r3,,4.636,"S-GLOBAL(4.8): Vibrant colors, clear sky, balanced composition, and natural lighting create a pleasing, harmonious scene with no flaws. | S-TECH(4.8): Crisp edges on tower and foliage, clean sky with no noise or artifacts, accurate white balance, no clipping or compression issues. | S-AESTH(4.1): Strong composition with tower centered against sky; vibrant autumn colors harmonize; clear visual hierarchy; soft natural light enhances textures without harshness.",1,composition|color,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 4.8, ""S-GLOBAL"": 4.8}"
10187522803.jpg,koniq,r3,,4.636,"S-GLOBAL(4.8): Vibrant colors, clear sky, well-composed balloons with sharp details; no flaws or distractions; excellent overall impression. | S-TECH(4.8): Crisp edges on balloons, no noise or artifacts; even exposure with clean blue sky; perfect white balance and no chromatic aberration. | S-AESTH(4.1): Strong composition with balanced subject placement; vibrant, harmonious colors against clear sky; lighting is even and natural; visual hierarchy clearly emphasizes balloons.",1,composition|color,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 4.8, ""S-GLOBAL"": 4.8}"
10206674394.jpg,koniq,r3,,4.636,"S-GLOBAL(4.8): Clear, natural lighting; sharp focus on sheep; vibrant blue sky and green grass; no artifacts or distractions. Perfectly composed pastoral scene. | S-TECH(4.8): Crisp edges on sheep, no noise in sky or grass, even exposure, neutral white balance, no compression artifacts or chromatic aberration. | S-AESTH(4.1): Strong composition with subjects centered on hill; clear blue sky provides balance. Natural lighting enhances texture. Mild clutter in grass foreground.",1,exposure|composition,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 4.8, ""S-GLOBAL"": 4.8}"
10211880874.jpg,koniq,r3,,2.7808,"S-GLOBAL(2.9): Strong orange glow from carved pumpkin creates moody atmosphere, but dark shadows obscure details and make image feel underexposed and flat. | S-TECH(1.8): Severe exposure issues: crushed shadows dominate; highlights are clipped and overexposed; extreme noise in dark areas; no visible fine detail. | S-AESTH(4.1): Strong chiaroscuro lighting creates moody depth; composition centers on glowing face with leading lines from cutouts; warm monochromatic palette enhances harmony.",1,exposure|color|composition,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.1, ""S-TECH"": 1.8, ""S-GLOBAL"": 2.9}"
10241895785.jpg,koniq,r3,,3.7469,"S-GLOBAL(3.9): Richly detailed dome with warm lighting and vibrant stained glass; minor vignetting and slight blur at edges don't detract from overall grandeur. | S-TECH(2.9): Moderate blur and noise in shadows; fine textures in dome patterns are smeared; slight JPEG artifacts near edges; overall detail loss reduces clarity. | S-AESTH(4.8): Symmetrical composition with central oculus and stained glass; warm, directional light enhances ornate details; rich, harmonious color palette; clear visual hierarchy draws eye upward.",1,exposure|composition|color,S-AESTH|S-TECH|S-GLOBAL,"{""S-AESTH"": 4.8, ""S-TECH"": 2.9, ""S-GLOBAL"": 3.9}"
