img_id,dataset,route,level,score,reason,parse_tier
10001.jpg,spaq,r6,,5.6117,R6=R5结构+bare投票 | bare 0.36/rich 0.29/multi 0.34,1
10002.jpg,spaq,r6,,5.747,R6=R5结构+bare投票 | bare 0.32/rich 0.34/multi 0.34,1
10003.jpg,spaq,r6,,4.2924,R6=R5结构+bare投票 | bare 0.37/rich 0.30/multi 0.33,1
10004.jpg,spaq,r6,,2.6441,R6=R5结构+bare投票 | bare 0.36/rich 0.31/multi 0.33,1
10005.jpg,spaq,r6,,1.7214,R6=R5结构+bare投票 | bare 0.33/rich 0.32/multi 0.35,1
10006.jpg,spaq,r6,,4.4804,R6=R5结构+bare投票 | bare 0.32/rich 0.36/multi 0.33,1
10007.jpg,spaq,r6,,8.0215,R6=R5结构+bare投票 | bare 0.39/rich 0.27/multi 0.33,1
10008.jpg,spaq,r6,,5.8615,R6=R5结构+bare投票 | bare 0.36/rich 0.30/multi 0.35,1
10009.jpg,spaq,r6,,5.6583,R6=R5结构+bare投票 | bare 0.31/rich 0.35/multi 0.34,1
10010.jpg,spaq,r6,,2.625,R6=R5结构+bare投票 | bare 0.34/rich 0.33/multi 0.32,1
10011.jpg,spaq,r6,,8.0345,R6=R5结构+bare投票 | bare 0.35/rich 0.30/multi 0.35,1
10012.jpg,spaq,r6,,6.15,R6=R5结构+bare投票 | bare 0.31/rich 0.34/multi 0.34,1
10013.jpg,spaq,r6,,7.1737,R6=R5结构+bare投票 | bare 0.32/rich 0.35/multi 0.33,1
10014.jpg,spaq,r6,,6.9107,R6=R5结构+bare投票 | bare 0.33/rich 0.32/multi 0.35,1
10015.jpg,spaq,r6,,5.8402,R6=R5结构+bare投票 | bare 0.29/rich 0.38/multi 0.33,1
10016.jpg,spaq,r6,,5.2215,R6=R5结构+bare投票 | bare 0.32/rich 0.34/multi 0.34,1
10017.jpg,spaq,r6,,4.0469,R6=R5结构+bare投票 | bare 0.32/rich 0.35/multi 0.33,1
10018.jpg,spaq,r6,,6.9111,R6=R5结构+bare投票 | bare 0.33/rich 0.32/multi 0.35,1
10019.jpg,spaq,r6,,1.9133,R6=R5结构+bare投票 | bare 0.33/rich 0.35/multi 0.32,1
10020.jpg,spaq,r6,,8.2974,R6=R5结构+bare投票 | bare 0.35/rich 0.30/multi 0.35,1
10021.jpg,spaq,r6,,3.1264,R6=R5结构+bare投票 | bare 0.31/rich 0.36/multi 0.33,1
10022.jpg,spaq,r6,,6.1765,R6=R5结构+bare投票 | bare 0.34/rich 0.33/multi 0.33,1
10023.jpg,spaq,r6,,3.981,R6=R5结构+bare投票 | bare 0.32/rich 0.36/multi 0.32,1
10024.jpg,spaq,r6,,1.7211,R6=R5结构+bare投票 | bare 0.33/rich 0.32/multi 0.35,1
10025.jpg,spaq,r6,,1.9692,R6=R5结构+bare投票 | bare 0.35/rich 0.32/multi 0.33,1
10026.jpg,spaq,r6,,1.7297,R6=R5结构+bare投票 | bare 0.33/rich 0.33/multi 0.34,1
10027.jpg,spaq,r6,,2.693,R6=R5结构+bare投票 | bare 0.32/rich 0.35/multi 0.33,1
10028.jpg,spaq,r6,,6.2735,R6=R5结构+bare投票 | bare 0.32/rich 0.33/multi 0.35,1
10029.jpg,spaq,r6,,6.0491,R6=R5结构+bare投票 | bare 0.34/rich 0.32/multi 0.34,1
10030.jpg,spaq,r6,,1.7383,R6=R5结构+bare投票 | bare 0.33/rich 0.34/multi 0.33,1
10031.jpg,spaq,r6,,4.9088,R6=R5结构+bare投票 | bare 0.33/rich 0.32/multi 0.35,1
10032.jpg,spaq,r6,,1.7349,R6=R5结构+bare投票 | bare 0.35/rich 0.32/multi 0.33,1
10033.jpg,spaq,r6,,1.73,R6=R5结构+bare投票 | bare 0.37/rich 0.29/multi 0.34,1
10034.jpg,spaq,r6,,8.8912,R6=R5结构+bare投票 | bare 0.37/rich 0.29/multi 0.35,1
10035.jpg,spaq,r6,,7.5517,R6=R5结构+bare投票 | bare 0.35/rich 0.30/multi 0.34,1
10036.jpg,spaq,r6,,6.9164,R6=R5结构+bare投票 | bare 0.36/rich 0.30/multi 0.34,1
