img_id,dataset,route,level,score,reason,parse_tier,issues,active_skills,skill_scores
10001.jpg,spaq,r2,,6.5333,"S-TECH(5.2): Crushed shadows and uneven exposure; visible noise in dark areas; slight blur on distant objects; no severe artifacts or color cast. | S-AESTH(5.2): Ordinary composition with cluttered ceiling and uneven lighting; mural adds color harmony but harsh pendant lights disrupt visual balance. | S-CONTENT(9.2): Subject (underwater mural) fully visible, no occlusion or cropping; key regions like fish and coral clearly preserved. | S-NATURAL(7.2): Subtle over-sharpening around light sources and mural edges; minor HDR glow near lamps; otherwise natural with no plastic or oversaturated areas. | S-GLOBAL(7.2): Good overall impression; vibrant mural and lighting create engaging ambiance. Minor glare from lights and slight underexposure in corners are barely noticeable.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 5.2, ""S-AESTH"": 5.2, ""S-CONTENT"": 9.2, ""S-NATURAL"": 7.2, ""S-GLOBAL"": 7.2}"
10002.jpg,spaq,r2,,6.5333,"S-TECH(5.2): Moderate blur on main flower and branches; fine textures smeared. Noise visible in shadows. Exposure even but lacks dynamic range. No severe artifacts or color cast. | S-AESTH(5.2): Ordinary composition with scattered blooms; flat greenhouse lighting; muted pink/green palette lacks vibrancy; visual hierarchy is weak due to cluttered branches. | S-CONTENT(9.2): Subject (blossoming tree) fully in frame; no occlusion; key regions (flowers, branches) clearly visible; framing intentional and complete. | S-NATURAL(7.2): Subtle noise reduction visible in shadows; slight edge enhancement on branches. No halos, oversaturation, or HDR glow. Natural overall. | S-GLOBAL(7.2): Soft focus on foreground flower, but natural lighting and composition create pleasant greenhouse scene; minor blur doesn't ruin overall appeal.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 5.2, ""S-AESTH"": 5.2, ""S-CONTENT"": 9.2, ""S-NATURAL"": 7.2, ""S-GLOBAL"": 7.2}"
10003.jpg,spaq,r2,,4.5333,"S-TECH(3.2): Severe motion blur and noise; crushed shadows, overexposed screen, visible JPEG artifacts and chromatic aberration on edges. | S-AESTH(3.2): Harsh, uneven lighting creates glare and dark shadows; cluttered background distracts; colors clash with garish neon vs. dull surroundings. | S-CONTENT(9.2): Subject fully in frame; no occlusion. Key regions (screen, controls, branding) clearly visible. Cropping minimal and harmless. | S-NATURAL(5.2): Noticeable over-smoothing on surfaces and slight oversaturation in lights; overall still plausible but processed. | S-GLOBAL(5.2): Blurry image with motion noise and low light; details obscured but main subject recognizable; acceptable for casual viewing.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 3.2, ""S-AESTH"": 3.2, ""S-CONTENT"": 9.2, ""S-NATURAL"": 5.2, ""S-GLOBAL"": 5.2}"
10004.jpg,spaq,r2,,3.2,"S-TECH(3.2): Severe motion blur across entire image; edges and text smeared; no sharp details visible; uniform noise not dominant. | S-AESTH(1.2): Severe motion blur obscures all details; chaotic composition with no clear subject or visual hierarchy; harsh red dominates unharmoniously. | S-CONTENT(5.2): Subject mostly visible; vertical text partially cut at left edge, minor cropping of top/bottom edges; key regions like fire extinguishers and cabinet contents are readable. | S-NATURAL(3.2): Severe motion blur across entire image; no sharpening or HDR artifacts, but extreme unsharpness makes scene artificial and unnatural. | S-GLOBAL(3.2): Severe motion blur dominates, obscuring details and text; image appears shaky and unviewable for practical use.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 3.2, ""S-AESTH"": 1.2, ""S-CONTENT"": 5.2, ""S-NATURAL"": 3.2, ""S-GLOBAL"": 3.2}"
10005.jpg,spaq,r2,,1.2,"S-TECH(1.2): Severe blur across entire image; no discernible edges or textures; content barely recognizable. | S-AESTH(1.2): Severe blur obscures all compositional elements, lighting details, and color relationships; visually chaotic and unpleasant to view. | S-CONTENT(1.2): Subject severely blurred and indistinct; no clear subject or key regions visible; content cannot be understood. | S-GLOBAL(1.2): Severe blur across entire image; no discernible details; completely unviewable for any purpose. | S-NATURAL(3.2): Severe over-smoothing and blur dominate; textures are lost, resembling watercolor smearing from aggressive noise reduction.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 1.2, ""S-AESTH"": 1.2, ""S-CONTENT"": 1.2, ""S-NATURAL"": 3.2, ""S-GLOBAL"": 1.2}"
10006.jpg,spaq,r2,,5.2,"S-TECH(5.2): Moderate blur across entire image, especially in foliage and bridge details; noticeable noise in dark water areas; exposure is flat with crushed shadows. | S-AESTH(5.2): Ordinary snapshot with flat lighting and muted colors; composition is balanced but lacks visual interest or strong hierarchy. | S-NATURAL(5.2): Mild over-smoothing on water and foliage; slight haloing near bridge edges; colors are muted but not oversaturated; overall plausible despite processing traces. | S-GLOBAL(5.2): Dull lighting and muted colors make image flat; reflections are soft but not distracting; overall acceptable with minor flaws. | S-CONTENT(9.2): Subject fully visible: bridge, trees, buildings, and water reflection are complete with no occlusion or harmful cropping.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 5.2, ""S-AESTH"": 5.2, ""S-CONTENT"": 9.2, ""S-NATURAL"": 5.2, ""S-GLOBAL"": 5.2}"
10007.jpg,spaq,r2,,7.8667,"S-TECH(7.2): Crisp berries and leaves with minor softness in background; slight noise in shadows; no clipping or artifacts. | S-AESTH(7.2): Vibrant red berries against dark green leaves create strong color harmony and visual hierarchy; composition is dense but balanced; lighting is even, enhancing gloss without harshness. | S-CONTENT(9.2): Subject (berries and leaves) fully visible, no cropping or occlusion; all key regions intact and clearly preserved. | S-NATURAL(5.2): Berries show unnatural neon pink saturation; slight halos around edges suggest mild sharpening; overall plausible but processed. | S-GLOBAL(9.2): Vibrant red berries and glossy green leaves create a striking, natural composition with excellent color contrast and clarity.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 7.2, ""S-AESTH"": 7.2, ""S-CONTENT"": 9.2, ""S-NATURAL"": 5.2, ""S-GLOBAL"": 9.2}"
10008.jpg,spaq,r2,,6.5333,"S-TECH(5.2): Visible noise in dark areas, slight blur in fine textures, and minor compression artifacts near bright lights; overall clarity reduced. | S-AESTH(5.2): Ordinary urban night scene; moon adds interest but composition is flat. Lighting is functional, not atmospheric; colors clash slightly between warm streetlights and cool signs. | S-CONTENT(9.2): Subject (cityscape) fully framed; no occlusion; key regions like buildings, signs, moon clearly visible; cropping intentional and harmless. | S-NATURAL(7.2): Subtle HDR glow around streetlights and slight edge sharpening; overall natural with minor processing traces visible on close inspection. | S-GLOBAL(7.2): Clear night city scene with moon, well-lit buildings, and vibrant signs; minor noise in dark areas but overall pleasing and acceptable.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 5.2, ""S-AESTH"": 5.2, ""S-CONTENT"": 9.2, ""S-NATURAL"": 7.2, ""S-GLOBAL"": 7.2}"
10009.jpg,spaq,r2,,7.2,"S-TECH(5.2): Moderate blur and noise visible in flower details; slight compression artifacts; overall exposure flat with crushed shadows. | S-AESTH(7.2): Soft, diffused light enhances delicate blossoms; composition fills frame with natural flow; color harmony in whites, greys, and subtle greens; minor clutter from branches. | S-CONTENT(9.2): Subject (blossoming tree) fully in frame, no occlusion, key floral regions clearly visible, framing intentional and complete. | S-NATURAL(7.2): Subtle over-smoothing in shadows and slight edge softness; no halos, oversaturation, or HDR glow. Natural overall with minor processing traces. | S-GLOBAL(7.2): Soft focus and muted colors, but overall pleasant cherry blossom scene with natural composition; minor flaws easily overlooked.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 5.2, ""S-AESTH"": 7.2, ""S-CONTENT"": 9.2, ""S-NATURAL"": 7.2, ""S-GLOBAL"": 7.2}"
10010.jpg,spaq,r2,,3.8667,"S-TECH(3.2): Severe motion blur across entire image; edges and textures smeared; no sharp details visible; exposure and white balance neutral but obscured by blur. | S-AESTH(3.2): Severe blur obscures composition and lighting; cluttered stacks lack visual hierarchy; dull, flat colors with no harmony. | S-NATURAL(5.2): Noticeable over-smoothing and blur throughout; textures appear smeared, especially in foliage and wood stacks, suggesting aggressive noise reduction or motion blur. | S-GLOBAL(3.2): Severe blur dominates the image, making details indiscernible; overall impression is poor and annoying to view. | S-CONTENT(9.2): Subject (wood piles) fully visible, no occlusion or cropping; key regions intact despite blur.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 3.2, ""S-AESTH"": 3.2, ""S-CONTENT"": 9.2, ""S-NATURAL"": 5.2, ""S-GLOBAL"": 3.2}"
10011.jpg,spaq,r2,,8.5333,"S-TECH(7.2): Minor softness in foliage and flowers; slight noise in shadows; no clipping, cast, or artifacts; overall clean and well-exposed. | S-AESTH(7.2): Pleasant purple-green color harmony; balanced composition with strong vertical contrast from dark foliage; soft, even lighting enhances texture without harshness. | S-CONTENT(9.2): Subject fully visible; no cropping or occlusion; purple flowers and foliage complete and clear throughout frame. | S-NATURAL(9.2): No halos, unnatural glow, or plastic textures. Colors are natural; foliage and flowers show realistic detail without over-sharpening or smoothing. | S-GLOBAL(9.2): Vibrant purple flowers and rich foliage create a lush, natural beauty; no flaws or distractions. Excellent overall impression.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 7.2, ""S-AESTH"": 7.2, ""S-CONTENT"": 9.2, ""S-NATURAL"": 9.2, ""S-GLOBAL"": 9.2}"
10012.jpg,spaq,r2,,7.8667,"S-TECH(7.2): Slight softness and minor noise in shadows; otherwise, exposure, white balance, and artifacts are well-controlled. | S-AESTH(5.2): Ordinary composition with flat, overcast lighting; statues are evenly spaced but lack visual hierarchy; muted color palette is neutral but unmemorable. | S-CONTENT(9.2): All statues fully visible, no occlusion or cropping; key regions (faces, inscriptions) clear; framing intentional and complete. | S-NATURAL(9.2): No halos, unnatural glow, or color exaggeration; textures and lighting appear authentic; no visible sharpening or smoothing artifacts. | S-GLOBAL(7.2): Clear, well-composed outdoor scene with balanced exposure; minor haze and dull lighting slightly reduce vibrancy but do not distract.",1,,S-TECH|S-AESTH|S-CONTENT|S-NATURAL|S-GLOBAL,"{""S-TECH"": 7.2, ""S-AESTH"": 5.2, ""S-CONTENT"": 9.2, ""S-NATURAL"": 9.2, ""S-GLOBAL"": 7.2}"
