img_id,dataset,route,level,score,reason,parse_tier,issues,active_skills,skill_scores
10001.jpg,spaq,r25,,6.5176,S-GLOBAL(7.2): Good overall impression; vibrant mural and lighting create engaging ambiance. Minor glare from lights and slight underexposure in corners are barely noticeable. | S-TECH(5.2): Crushed shadows and uneven exposure; visible noise in dark areas; slight blur on distant objects; no severe artifacts or color cast. | S-NATURAL(7.2): Subtle over-sharpening around light sources and mural edges; minor HDR glow near lamps; otherwise natural with no plastic or oversaturated areas.,1,exposure|noise|composition,S-NATURAL|S-TECH|S-GLOBAL,"{""S-NATURAL"": 7.2, ""S-TECH"": 5.2, ""S-GLOBAL"": 7.2}"
10002.jpg,spaq,r25,,6.0033,"S-GLOBAL(7.2): Soft focus on foreground flower, but natural lighting and composition create pleasant greenhouse scene; minor blur doesn't ruin overall appeal. | S-TECH(5.2): Moderate blur on main flower and branches; fine textures smeared. Noise visible in shadows. Exposure even but lacks dynamic range. No severe artifacts or color cast. | S-AESTH(5.2): Ordinary composition with scattered blooms; flat greenhouse lighting; muted pink/green palette lacks vibrancy; visual hierarchy is weak due to cluttered branches.",1,blur|exposure|composition,S-TECH|S-GLOBAL|S-AESTH,"{""S-TECH"": 5.2, ""S-GLOBAL"": 7.2, ""S-AESTH"": 5.2}"
10003.jpg,spaq,r25,,4.5176,"S-GLOBAL(5.2): Blurry image with motion noise and low light; details obscured but main subject recognizable; acceptable for casual viewing. | S-TECH(3.2): Severe motion blur and noise; crushed shadows, overexposed screen, visible JPEG artifacts and chromatic aberration on edges. | S-NATURAL(5.2): Noticeable over-smoothing on surfaces and slight oversaturation in lights; overall still plausible but processed.",1,blur|exposure|noise,S-GLOBAL|S-NATURAL|S-TECH,"{""S-GLOBAL"": 5.2, ""S-NATURAL"": 5.2, ""S-TECH"": 3.2}"
10004.jpg,spaq,r25,,2.7,"S-GLOBAL(3.2): Severe motion blur dominates, obscuring details and text; image appears shaky and unviewable for practical use. | S-NATURAL(3.2): Severe motion blur across entire image; no sharpening or HDR artifacts, but extreme unsharpness makes scene artificial and unnatural. | S-AESTH(1.2): Severe motion blur obscures all details; chaotic composition with no clear subject or visual hierarchy; harsh red dominates unharmoniously.",1,blur|composition,S-AESTH|S-GLOBAL|S-NATURAL,"{""S-AESTH"": 1.2, ""S-GLOBAL"": 3.2, ""S-NATURAL"": 3.2}"
10005.jpg,spaq,r25,,1.7647,"S-GLOBAL(1.2): Severe blur across entire image; no discernible details; completely unviewable for any purpose. | S-TECH(1.2): Severe blur across entire image; no discernible edges or textures; content barely recognizable. | S-NATURAL(3.2): Severe over-smoothing and blur dominate; textures are lost, resembling watercolor smearing from aggressive noise reduction.",1,blur,S-GLOBAL|S-NATURAL|S-TECH,"{""S-GLOBAL"": 1.2, ""S-NATURAL"": 3.2, ""S-TECH"": 1.2}"
10006.jpg,spaq,r25,,5.2,"S-GLOBAL(5.2): Dull lighting and muted colors make image flat; reflections are soft but not distracting; overall acceptable with minor flaws. | S-TECH(5.2): Moderate blur across entire image, especially in foliage and bridge details; noticeable noise in dark water areas; exposure is flat with crushed shadows. | S-AESTH(5.2): Ordinary snapshot with flat lighting and muted colors; composition is balanced but lacks visual interest or strong hierarchy.",1,blur|exposure|color,S-TECH|S-GLOBAL|S-AESTH,"{""S-TECH"": 5.2, ""S-GLOBAL"": 5.2, ""S-AESTH"": 5.2}"
10007.jpg,spaq,r25,,7.4143,"S-GLOBAL(9.2): Vibrant red berries and glossy green leaves create a striking, natural composition with excellent color contrast and clarity. | S-NATURAL(5.2): Berries show unnatural neon pink saturation; slight halos around edges suggest mild sharpening; overall plausible but processed. | S-AESTH(7.2): Vibrant red berries against dark green leaves create strong color harmony and visual hierarchy; composition is dense but balanced; lighting is even, enhancing gloss without harshness.",1,color|processing|composition,S-AESTH|S-NATURAL|S-GLOBAL,"{""S-AESTH"": 7.2, ""S-NATURAL"": 5.2, ""S-GLOBAL"": 9.2}"
10008.jpg,spaq,r25,,6.5176,"S-GLOBAL(7.2): Clear night city scene with moon, well-lit buildings, and vibrant signs; minor noise in dark areas but overall pleasing and acceptable. | S-TECH(5.2): Visible noise in dark areas, slight blur in fine textures, and minor compression artifacts near bright lights; overall clarity reduced. | S-NATURAL(7.2): Subtle HDR glow around streetlights and slight edge sharpening; overall natural with minor processing traces visible on close inspection.",1,exposure|noise|color,S-TECH|S-NATURAL|S-GLOBAL,"{""S-TECH"": 5.2, ""S-NATURAL"": 7.2, ""S-GLOBAL"": 7.2}"
10009.jpg,spaq,r25,,6.472,"S-GLOBAL(7.2): Soft focus and muted colors, but overall pleasant cherry blossom scene with natural composition; minor flaws easily overlooked. | S-TECH(5.2): Moderate blur and noise visible in flower details; slight compression artifacts; overall exposure flat with crushed shadows. | S-AESTH(7.2): Soft, diffused light enhances delicate blossoms; composition fills frame with natural flow; color harmony in whites, greys, and subtle greens; minor clutter from branches.",1,blur|exposure|color,S-TECH|S-GLOBAL|S-AESTH,"{""S-TECH"": 5.2, ""S-GLOBAL"": 7.2, ""S-AESTH"": 7.2}"
10010.jpg,spaq,r25,,3.2,"S-GLOBAL(3.2): Severe blur dominates the image, making details indiscernible; overall impression is poor and annoying to view. | S-TECH(3.2): Severe motion blur across entire image; edges and textures smeared; no sharp details visible; exposure and white balance neutral but obscured by blur. | S-AESTH(3.2): Severe blur obscures composition and lighting; cluttered stacks lack visual hierarchy; dull, flat colors with no harmony.",1,blur|exposure|composition,S-TECH|S-GLOBAL|S-AESTH,"{""S-TECH"": 3.2, ""S-GLOBAL"": 3.2, ""S-AESTH"": 3.2}"
